Date,Ticker,Expiry,Trade Type,Strike,IV
2025-06-10 19:38:14,UNH,2025-06-13,Put,310.0,0.3549869189453124
2025-06-10 19:40:25,UNH,2025-06-13,Put,310.0,0.3549869189453124
2025-06-10 20:19:45,UNH,2025-06-13,Put,310.0,0.3549869189453124
2025-06-10 20:34:20,AAPL,2025-06-13,Put,205.0,0.32080757324218745
2025-06-10 20:37:23,AAPL,2025-06-13,Put,205.0,0.32080757324218745
2025-06-10 20:38:45,NVDA,2025-06-13,Call,146.0,0.3786683227539062
2025-06-11 20:19:56,AAPL,2025-06-13,Put,200.0,0.34326828613281246
2025-06-11 20:33:52,AAPL,2025-06-13,Put,200.0,0.34326828613281246
2025-06-16 07:28:18,AAPL,2025-06-20,Put,200.0,0.23218541259765624
2025-06-16 07:28:51,NVDA,2025-06-20,Call,144.0,0.2727123510742187
2025-06-16 07:31:04,DJT,2025-06-20,Put,20.0,0.78711150390625
2025-06-16 07:32:49,HOOD,2025-06-20,Call,76.0,0.5063525927734375
2025-06-16 07:32:52,HOOD,2025-06-20,Call,74.0,0.5971719970703125
2025-06-16 07:33:01,HOOD,2025-06-20,Call,76.0,0.5039112109375
